EAN,Product Name,Price
1234567890123,Smartphone,299.99
2345678901234,Laptop,899.99
3456789012345,TV,499.99
4567890123456,Headphones,49.99
5678901234567,Blender,29.99
6789012345678,Toaster,19.99
7890123456789,Coffee Maker,79.99
8901234567890,Vacuum Cleaner,129.99
9012345678901,Microwave,59.99
0123456789012,Tablet,179.99
1234567890123,Printer,89.99
2345678901234,Speaker,39.99
3456789012345,Desk Chair,69.99
4567890123456,Desk Lamp,24.99
5678901234567,Bluetooth Earbuds,79.99
6789012345678,Shredder,49.99
7890123456789,Air Purifier,149.99
8901234567890,Water Bottle,9.99
9012345678901,Wireless Mouse,19.99
0123456789012,External Hard Drive,129.99
1234567890123,Backpack,34.99
2345678901234,Office Chair,89.99
3456789012345,LED Desk Lamp,29.99
4567890123456,Toilet Paper (24-pack),14.99
5678901234567,Dish Rack,19.99
6789012345678,Laundry Basket,12.99
7890123456789,Iron,39.99
8901234567890,Blu-ray Player,69.99
9012345678901,Carpet Cleaner,99.99
0123456789012,Cookware Set,149.99
1234567890123,Sunglasses,29.99
2345678901234,Running Shoes,59.99
3456789012345,Back Massager,39.99
4567890123456,Hair Dryer,19.99
5678901234567,Weighted Blanket,49.99
6789012345678,Electric Toothbrush,59.99
7890123456789,Steam Iron,29.99
8901234567890,Camera,399.99
9012345678901,Refrigerator,799.99
0123456789012,Washing Machine,499.99
1234567890123,Dishwasher,349.99
2345678901234,Kettle,24.99
3456789012345,Hiking Boots,79.99
4567890123456,Treadmill,599.99
5678901234567,Bicycle,249.99
6789012345678,Camping Tent,89.99
7890123456789,Sleeping Bag,39.99
8901234567890,Bluetooth Speaker,59.99
9012345678901,Power Bank,29.99
0123456789012,Wireless Charger,19.99
1234567890123,Desk Organizer,14.99
2345678901234,Notebook,4.99
3456789012345,Desk Fan,19.99
4567890123456,Travel Mug,9.99
5678901234567,Printed T-Shirt,14.99
6789012345678,Leather Wallet,29.99
7890123456789,Sports Water Bottle,7.99
8901234567890,Running Shorts,19.99
9012345678901,Exercise Ball,12.99
0123456789012,Sandals,24.99
1234567890123,Swimsuit,29.99
2345678901234,Chess Set,39.99
3456789012345,Board Game,19.99
4567890123456,Jigsaw Puzzle,9.99
5678901234567,Yoga Mat,14.99
6789012345678,Stainless Steel Water Bottle,12.99
7890123456789,Travel Pillow,9.99
8901234567890,USB Flash Drive,8.99
9012345678901,Desk Clock,7.99
